method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-SMC,563428.5714285715,58.868719540633165,9.062128536773425,20,4,True,0
ABC-SMC,567272.7272727273,58.885090923928594,9.062128536773425,20,4,True,0
ABC-SMC,567432.2580645161,58.52154162622267,9.062128536773425,20,4,True,0
ABC-SMC,571251.6129032258,58.53800896675356,9.062128536773425,20,4,True,0
ABC-SMC,575070.9677419355,58.55423904234363,9.062128536773425,20,4,True,0
ABC-SMC,571515.923566879,57.824744540415,9.062128536773425,20,4,True,0
ABC-SMC,564500.0,56.756426468491554,9.062128536773425,20,4,True,0
ABC-SMC,564670.8074534162,56.419816372557456,9.062128536773425,20,4,True,0
ABC-SMC,564839.5061728394,56.08722648502868,9.062128536773425,20,4,True,0
ABC-SMC,565006.1349693252,55.758655144393074,9.062128536773425,20,4,True,0
ABC-SMC,565170.731707317,55.43421099825603,9.062128536773425,20,4,True,0
ABC-SMC,561927.7108433734,54.78147770985063,9.062128536773425,20,4,True,0
ABC-SMC,565493.9759036143,54.796694272972005,9.062128536773425,20,4,True,0
ABC-SMC,565652.6946107784,54.48378081807119,9.062128536773425,20,4,True,0
ABC-SMC,569197.6047904191,54.49897657611412,9.062128536773425,20,4,True,0
ABC-SMC,569333.3333333333,54.18945110979534,9.062128536773425,20,4,True,0
ABC-SMC,572857.1428571427,54.20458501293545,9.062128536773425,20,4,True,0
ABC-SMC,569599.9999999999,53.58159051221959,9.062128536773425,20,4,True,0
ABC-SMC,566418.6046511629,52.973456576813106,9.062128536773425,20,4,True,0
ABC-SMC,563310.3448275863,52.37908774408802,9.062128536773425,20,4,True,0
ABC-SMC,566712.6436781611,52.39396156935857,9.062128536773425,20,4,True,0
ABC-SMC,570114.9425287357,52.4093923212468,9.062128536773425,20,4,True,0
ABC-SMC,573517.2413793105,52.4239109850478,9.062128536773425,20,4,True,0
ABC-SMC,573622.8571428572,52.138912609645296,9.062128536773425,20,4,True,0
ABC-SMC,573727.2727272727,51.857315071604475,9.062128536773425,20,4,True,0
ABC-SMC,570606.7415730337,51.28889840640379,9.062128536773425,20,4,True,0
ABC-SMC,564419.8895027625,50.45295341238791,9.062128536773425,20,4,True,0
ABC-SMC,552430.1075268817,49.12927509636008,9.062128536773425,20,4,True,0
ABC-SMC,549702.1276595745,48.620297426873066,9.062128536773425,20,4,True,0
ABC-SMC,549925.9259259258,48.37666333667815,9.062128536773425,20,4,True,0
ABC-SMC,547267.0157068062,47.88356501394541,9.062128536773425,20,4,True,0
ABC-SMC,544663.212435233,47.400538970769375,9.062128536773425,20,4,True,0
ABC-SMC,544907.2164948453,47.169364481857144,9.062128536773425,20,4,True,0
ABC-SMC,545148.7179487179,46.940557467631805,9.062128536773425,20,4,True,0
ABC-SMC,545387.7551020408,46.714295477283244,9.062128536773425,20,4,True,0
ABC-SMC,540140.7035175879,46.040365624068365,9.062128536773425,20,4,True,0
ABC-SMC,543115.5778894472,46.05317996374925,9.062128536773425,20,4,True,0
